Name,Variation,Color 1,Color 2,Seasonal Availability,Style,Label Themes,Villager Equippable,Internal ID,Unique Entry ID
kiddie socks,Blue & orange,Blue,Orange,All Year,Cute,everyday; outdoorsy; comfy; sporty,No,9985,caua8mbapACdisDuE
kiddie socks,Lime & pink,Green,Pink,All Year,Cute,everyday; outdoorsy; comfy; sporty,No,9986,rKW7PLjcnQTJmxLpj
kiddie socks,Yellow & purple,Yellow,Purple,All Year,Cute,everyday; outdoorsy; comfy; sporty,No,9987,CR4KZHwxdFpshqtRN
kiddie socks,Light blue & red,Light blue,Red,All Year,Cute,everyday; outdoorsy; comfy; sporty,No,9988,LFgFyfPHF5DCtB2Mg
kiddie socks,Purple & green,Purple,Green,All Year,Cute,everyday; outdoorsy; comfy; sporty,No,9989,Q5ppLfq9eAyh5CiDd
kiddie socks,Pink & yellow,Pink,Yellow,All Year,Cute,everyday; outdoorsy; comfy; sporty,No,9990,uDAkFWgcMBdTxrpe7
kiddie socks,Black & gray,Black,Gray,All Year,Cute,everyday; outdoorsy; comfy; sporty,No,9991,JYXCDdJSMofR4Fhgn
Labelle socks,Twilight,Purple,Purple,All Year,Cool,everyday; formal; sporty; theatrical,No,9883,hyhRxPjBSZAvnxQjr
Labelle socks,Midnight,Black,Black,All Year,Cool,everyday; formal; sporty; theatrical,No,11761,ZaX5Gyb34Kwj9bzLn
Labelle socks,Passion,Red,Red,All Year,Cool,everyday; formal; sporty; theatrical,No,11762,b7JBgeuAoWuwhKc9b
Labelle socks,Ocean,Blue,Blue,All Year,Cool,everyday; formal; sporty; theatrical,No,11763,RdoRnCSw4FpEXci5s
Labelle socks,Sunset,Yellow,Yellow,All Year,Cool,everyday; formal; sporty; theatrical,No,11764,bkDdwmPfGjYDQvo3b
Labelle socks,Love,Pink,Pink,All Year,Cool,everyday; formal; sporty; theatrical,No,11765,zSHmRiEPN4emdp2Bg
Labelle tights,Twilight,Purple,Purple,All Year,Elegant,everyday; formal; party; theatrical,No,9882,dL7xeqfcNGRcayR59
Labelle tights,Midnight,Black,Black,All Year,Elegant,everyday; formal; party; theatrical,No,11756,s9SheWRC6wvujqCQp
Labelle tights,Passion,Red,Red,All Year,Elegant,everyday; formal; party; theatrical,No,11757,epohpktM92yF7bhcB
Labelle tights,Ocean,Blue,Blue,All Year,Elegant,everyday; formal; party; theatrical,No,11758,MAHpTyaE9sPCXsKpb
Labelle tights,Sunset,Orange,Orange,All Year,Elegant,everyday; formal; party; theatrical,No,11759,e5f9rJg8Qo56X6xpo
Labelle tights,Love,Pink,Pink,All Year,Elegant,everyday; formal; party; theatrical,No,11760,zrQngGimLZz9HNpck
lace socks,White,White,White,All Year,Elegant,everyday; fairy tale; formal; party,No,5173,qRGNuwPJJS3YyWe7w
lace socks,Pink,Pink,White,All Year,Elegant,everyday; fairy tale; formal; party,No,8931,HMyTxrLsMc3PkSPXN
lace socks,Green,Green,White,All Year,Elegant,everyday; fairy tale; formal; party,No,8932,zFT2DpYJPacGNEAP4
lace socks,Black,Black,White,All Year,Elegant,everyday; fairy tale; formal; party,No,8933,86Y8rtryieE8cCHcS
lace socks,Beige,Beige,White,All Year,Elegant,everyday; fairy tale; formal; party,No,10170,2wWiCEyFpcC64yLJz
layered socks,Purple,Gray,Purple,Winter,Simple,everyday; comfy,No,5195,2am8FTEZehx7t7nh7
layered socks,Blue,Gray,Blue,Winter,Simple,everyday; comfy,No,9902,pYcz36NuF4WtFs6nd
layered socks,Yellow,Gray,Yellow,Winter,Simple,everyday; comfy,No,9903,f8f8oNrhxiA3WCZwn
layered socks,Green,Gray,Green,Winter,Simple,everyday; comfy,No,9904,v5xsCzumBt8AQxD2q
layered socks,Red,Gray,Red,Winter,Simple,everyday; comfy,No,9905,dtFsbH6p5a4dPufKx
layered socks,Orange,Gray,Orange,Winter,Simple,everyday; comfy,No,9906,3wugeZu3eS3Kq5Mfz
leg warmers,Purple,Purple,Purple,Winter,Active,outdoorsy; comfy,No,5169,XfT3B4xa9sbPq9SXo
leg warmers,Black,Black,Black,Winter,Active,outdoorsy; comfy,No,9785,7SjdceMm9EBftH999
leg warmers,Gray,Gray,Gray,Winter,Active,outdoorsy; comfy,No,9786,MRYbYyEpPpwCHQC6K
leg warmers,Pink,Pink,Pink,Winter,Active,outdoorsy; comfy,No,9787,YbGujwbC62LKu4EJX
leg warmers,Light purple,Purple,Purple,Winter,Active,outdoorsy; comfy,No,9788,HsxzpQQSheGZLynvt
leg warmers,Blue,Blue,Blue,Winter,Active,outdoorsy; comfy,No,9789,pLsudAtibb4CcFrXA
mixed-tweed socks,Red,Red,Red,All Year,Simple,everyday; comfy,No,5168,owfZHfF53LSDDc9oY
mixed-tweed socks,Avocado,Green,Green,All Year,Simple,everyday; comfy,No,9063,Sm9A7YY3Cop9SL2SL
mixed-tweed socks,Light blue,Light blue,Light blue,All Year,Simple,everyday; comfy,No,9064,g8E79aFTJFqNSWkHa
mixed-tweed socks,Purple,Purple,Purple,All Year,Simple,everyday; comfy,No,9065,zYKg8nbNZ4yiK8MRo
mixed-tweed socks,Blue,Blue,Blue,All Year,Simple,everyday; comfy,No,9066,8zXuSD5mWeqWx9Ya3
mixed-tweed socks,Orange,Orange,Orange,All Year,Simple,everyday; comfy,No,9067,rKn2vigLdAKyp78pT
mixed-tweed socks,Lime,Yellow,Yellow,All Year,Simple,everyday; comfy,No,9068,pYazqm8irTwb5jLvL
mixed-tweed socks,Pink,Beige,Beige,All Year,Simple,everyday; comfy,No,9069,cdQLDmrQGmcMsDCyB
neon leggings,Yellow,Yellow,Orange,All Year,Active,outdoorsy; party; theatrical,No,9586,RLSZDLNbLG83GjLLK
neon leggings,Pink,Pink,Purple,All Year,Active,outdoorsy; party; theatrical,No,9808,m3yXnPxG2S67TTXiP
neon leggings,Orange,Orange,Pink,All Year,Active,outdoorsy; party; theatrical,No,9809,nWcu7nF4Mm3GAaFuz
neon leggings,Green,Green,Light blue,All Year,Active,outdoorsy; party; theatrical,No,9810,CiRdadkZ8CZHGSLWr
neon leggings,Purple,Purple,Blue,All Year,Active,outdoorsy; party; theatrical,No,9811,tYx44vCXssquakWKM
neon tights,Yellow,Yellow,Orange,All Year,Active,party; theatrical,No,9583,ribe86zk8CSeDJcNX
neon tights,Pink,Pink,Purple,All Year,Active,party; theatrical,No,9694,W49nhK8ikKp6iSa5a
neon tights,Orange,Orange,Pink,All Year,Active,party; theatrical,No,9695,pXXmML69f4b9sRPsa
neon tights,Green,Green,Light blue,All Year,Active,party; theatrical,No,9696,eQLqwi3PDf8SvShDJ
neon tights,Purple,Purple,Blue,All Year,Active,party; theatrical,No,9697,rqxeHWvFkEJxeELii
no-show socks,Gray,Gray,Black,All Year,Simple,everyday; outdoorsy; comfy; sporty,No,4741,23uqWuWmWfQc9SZrT
no-show socks,White,White,Red,All Year,Simple,everyday; outdoorsy; comfy; sporty,No,10003,nsnHnWq7HcCK3dSS5
no-show socks,Berry red,Red,Gray,All Year,Simple,everyday; outdoorsy; comfy; sporty,No,10004,RSdqLjfMrxzg6Nmij
no-show socks,Light blue,Light blue,White,All Year,Simple,everyday; outdoorsy; comfy; sporty,No,10005,YvFWc5QiCGCypwRRn
no-show socks,Orange,Orange,Purple,All Year,Simple,everyday; outdoorsy; comfy; sporty,No,10006,QWGErd9MjKGGs4iPK
no-show socks,Green,Green,Blue,All Year,Simple,everyday; outdoorsy; comfy; sporty,No,10007,w7siY5WWvHdgEhgHS
no-show socks,Navy blue,Blue,Yellow,All Year,Simple,everyday; outdoorsy; comfy; sporty,No,10008,8ttfsejMHiMv72kta
no-show socks,Yellow,Yellow,Light blue,All Year,Simple,everyday; outdoorsy; comfy; sporty,No,10009,58eK8s82q6PQojHbZ
Nook Inc. socks,Yellow,Yellow,Orange,All Year,Active,everyday; outdoorsy; comfy,No,5629,9aX93qfqKjkA3Ah4F
nordic socks,Navy blue,Blue,Black,Winter,Elegant,everyday; outdoorsy; comfy,No,4748,YQkah68GuwuXS2Gnv
nordic socks,Ivory,Beige,Black,Winter,Elegant,everyday; outdoorsy; comfy,No,9889,HKdHEfY4v8cpzdGT2
nordic socks,Red,Red,Black,Winter,Elegant,everyday; outdoorsy; comfy,No,9890,yKLbboCACLCSWPHmw
nordic socks,Blue,Blue,Black,Winter,Elegant,everyday; outdoorsy; comfy,No,9891,x493oaGe4pAqW8Tue
nordic socks,Gray,Gray,Black,Winter,Elegant,everyday; outdoorsy; comfy,No,9892,MBjHJKaxWHn8hJyeQ
nordic socks,Green,Green,Black,Winter,Elegant,everyday; outdoorsy; comfy,No,9893,d9PWq3zpaRggPoN8R
nordic socks,Light blue,Light blue,Black,Winter,Elegant,everyday; outdoorsy; comfy,No,9894,QAMoumSd9Fv7CwA6m
patterned stockings,Black,Black,Black,All Year,Elegant,everyday; formal; party; theatrical,No,6046,MPuQ9PxnjGgBdR4cr
patterned stockings,White,White,White,All Year,Elegant,everyday; formal; party; theatrical,No,9674,bbZrafLMe87ifZ6yK
pom-pom socks,Pink,Pink,White,Winter,Cute,everyday; fairy tale; comfy,No,5179,xTxpqcYovDS7R4brm
pom-pom socks,Blue,Light blue,White,Winter,Cute,everyday; fairy tale; comfy,No,9072,X2Esyxf48CNDo7aS5
pom-pom socks,Green,Green,White,Winter,Cute,everyday; fairy tale; comfy,No,9073,sJ4i4vbxAsffiM4PS
pom-pom socks,Orange,Orange,White,Winter,Cute,everyday; fairy tale; comfy,No,9074,7cX6yDzovZqcytqYq
pom-pom socks,Purple,Purple,White,Winter,Cute,everyday; fairy tale; comfy,No,9075,p8pAsGdvNt3MhZJvQ
puckered socks,Mustard,Orange,Orange,All Year,Elegant,everyday,No,5198,jHhnoh4uTuxvfrRoR
puckered socks,Red,Red,Red,All Year,Elegant,everyday,No,9078,tqbtYmMFqJea5Ly4H
puckered socks,Blue,Blue,Blue,All Year,Elegant,everyday,No,9079,Qjs7aEzAyXkYiEx2j
puckered socks,Green,Green,Green,All Year,Elegant,everyday,No,9080,CBvB7JPEmJTEfBqHG
puckered socks,Purple,Purple,Purple,All Year,Elegant,everyday,No,9081,pEZh2BMo5Ht2z4Qdn
running tights,Pink,Black,Pink,All Year,Active,outdoorsy; sporty; work,No,5214,vtfGv2xygxLpzEQ6c
running tights,Yellow,Black,Yellow,All Year,Active,outdoorsy; sporty; work,No,9798,7cbeNaN77kh4PSrbn
running tights,Blue,Black,Blue,All Year,Active,outdoorsy; sporty; work,No,9799,4tutx5H5HC9TNWmFn
running tights,Green,Black,Green,All Year,Active,outdoorsy; sporty; work,No,9800,4HnvYfdvg6WwwBz9u
semi-opaque socks,Green,Green,Green,All Year,Elegant,everyday,No,9644,aDd9YECbDwxmdtYRN
semi-opaque socks,Red,Red,Red,All Year,Elegant,everyday,No,10027,9y7L6GWXoiMhXgsnf
semi-opaque socks,Blue,Blue,Blue,All Year,Elegant,everyday,No,10028,cuQ2Efgb8W3eYPQMr
semi-opaque socks,Navy blue,Purple,Purple,All Year,Elegant,everyday,No,10029,sqE8jqYCHjdpHJLD5
semi-opaque socks,Purple,Pink,Pink,All Year,Elegant,everyday,No,10030,fm5LhL9MfomtYc46n
semi-opaque socks,Camel,Yellow,Yellow,All Year,Elegant,everyday,No,10031,KLmZ9YcLY8dcH3nxQ
semi-opaque socks,Avocado,Green,Green,All Year,Elegant,everyday,No,10032,eDjvXAE53RX4Y4uRb
semi-opaque socks,Brown,Brown,Brown,All Year,Elegant,everyday,No,10033,seWE9o2TE28kpMDjm
semi-opaque tights,Brown,Orange,Orange,All Year,Elegant,everyday,No,9580,4tvCsLmAJBucyRFh4
semi-opaque tights,Yellow,Yellow,Yellow,All Year,Elegant,everyday,No,9675,wrzsLNreDDJSx9rcv
semi-opaque tights,Green,Green,Green,All Year,Elegant,everyday,No,9676,dybLNTRi3jQvD8Tdq
semi-opaque tights,Purple,Purple,Purple,All Year,Elegant,everyday,No,9677,TQaSHhuiZi36xa2Jx
semi-opaque tights,Blue,Blue,Blue,All Year,Elegant,everyday,No,9678,GtaHiEpq7oDHgytbC
semi-opaque tights,Pink,Pink,Pink,All Year,Elegant,everyday,No,9679,g4dSGvzNvZLb5woZ2
semi-opaque tights,Red,Red,Red,All Year,Elegant,everyday,No,9680,SG5Y2GgkbZ3bfrKzG
semi-opaque tights,Yellow-green,Green,Green,All Year,Elegant,everyday,No,9681,Z36xyWkyy3QY6egTc
sequin leggings,Pink,Pink,Pink,All Year,Gorgeous,party; theatrical,No,4743,pKRC3yY3R5RkyxY5x
sequin leggings,Red,Red,Red,All Year,Gorgeous,party; theatrical,No,11580,Jk6c6Hi3y4tWEsGmb
sequin leggings,Black,Black,Black,All Year,Gorgeous,party; theatrical,No,11581,LYwjTYKtgGPanWj78
sequin leggings,Yellow,Yellow,Yellow,All Year,Gorgeous,party; theatrical,No,11582,Esh9SXsXcdtLvBaNY
