Name,Award Criteria,Internal ID,Unique Entry ID
Cornering the Stalk Market,Number of total bells you've profited from selling turnips,10,gvMPEpKkGPLmEeDPe
No More Loan Payments!,Awarded after paying off your first house loan with bells,34,uhbojHTBeM2Cnfkuh
Bulletin-Board Benefit,Awarded the first time you post a message on your town bulletin board,83,rZLyEe6QGk9G7sLTP
Popular Pen Pal,Number of letters you've sent,50,EJMKZDs8N5xGkfduP
Flea Flicker,Number of times you've caught fleas off a villager,26,WRvG4EsvYQbqJupxi
Cicada Memories,Awarded the first time you catch a cicada shell,25,t9vayZu88rPHrY79j
Netting Better!,Awarded the first time you catch five wasps in a row without running away or getting stung,71,ojjJY4tQvSCs3BYda
Pit-y Party!,Awarded the first time you bury a pitfall seed,51,MwQQ43gFXFky4Z2hG
Taking the Sting Out,Awarded the first time you get stung by a wasp,24,P82MkAcpWY9ZAQTnD
Faint of Heart,Awarded the first time you get knocked out by a Scorpion or Tarantula,27,NwntrWkuaxtB8NoL9
Overcoming Pitfalls,Awarded the first time you fall into a pitfall hole,52,DhKzQBem5HZytprbC
Faked Out!,Donated a fake piece of art,90,vakbzK5ihWAQR2aux
Lost Treasure,Awarded the first time a balloon present you shot lands in a body of water,80,Y2kKBHN6kT7zxkTbm
It's Raining Treasure!,Number of balloons you've shot down with a slingshot,5,EEocBnCSkNM9ukMic
Fun with Fences,Awarded the first time you place a fence,89,fNCiNgcTMxFwqAzxN
Snowmaestro,Number of perfect snow-people you've built,45,XcwvgbKXNWiLjmJDX
Wishes Come True,Number of shooting stars you've wished on.,85,WcKhJsbYhwKKkCLqd
Exterior Decorator,Awarded the first time you place some furniture outside,64,TW2jrhLDvtDhjZAKx
(island name) Icons,Awarded for changing your town tune and island flag for the first time,86,umpcvH5jtsWEir4rR
Island Designer,"Awarded the first time you use the Island Designer app to place a path, add/remove water, and build/destroy a cliff",88,NyFc3PaM4omZLfuic
Wispy Island Secrets,Number of times you've helped Wisp find the parts of his spirit,44,nSkcG8gSanouEFg9x
Gulliver's Travails,Number of times you've helped Gulliver fix his communicator,43,GfHAM2edJCAAN9xsF
K.K. Mania,Number of K.K. shows you've attended,17,aNZ2t8CH7dgpRefc3
True Patron of the Arts,Number of times you purchased art that turned out to be real,91,YTpzbNPue2fAe3FdS
True Friends,Number of villagers you've become good friends with,54,ZD7xtJZTo9mGk9tTk
Birthday Celebration,Number of villager birthdays you've attended,47,5TKJXZPvrkPLiQ6XC
Happy Birthday!,Awarded the first time you play on your character's birthday,46,6vc2Rm2s3rE9EFZoM
Fishing Tourney!,Awarded the first time you attend a fishing tourney in each season,41,Z2C4JGKnsPJqhyDFM
Bug-Off!,Awarded the first time you attend a bug-off tourney in each season,42,HQJJaicSZQ79LstpA
Countdown Celebration,Awarded for attending the new year holiday event,48,PTMwJTvnX3A4gxjN9
Making a Change,Awarded the first time you use a wardrobe to change your character's outfit,84,NBmsw6tCLZzWXcGcK
First Custom Design!,Awarded the first time you use the Custom Design app to edit or create a design,35,44KNAwCSGuatXHYeh
Custom Design Pro!,Awarded the first time you use the Custom Design pro app to edit or create a design,36,ch29owdtPq5Jd73xx
Paydirt!,Awarded the first time you dig up bells from a shining spot,60,ps4e4DFg2pnHvdvRm
Shady Shakedown,Number of furniture pieces you've found from shaking trees,79,o37WLZhgDMnMbDbPx
Golden Milestone,"Awarded for each unique golden tool you've equipped (shovel, net, fishing rod, watering can, axe, and slingshot)",39,B9uYNJkiP5jqkn3SX
Island and Yourland,Number of times you've visited another player's island (does not count mystery islands using Nook Miles Tickets),18,JofcHyqspqdvy92rH
Host the Most,Number of other players that have visited your island,19,YdeZW248LnovzB7EB
Active Island Resident,Number of total unique days you've played the game,21,QgGe5XTYJhjfgbMHW
